Number of occurrences (+-),POS,Lemma,Morph,Morph corrected phonetics,Gloss,замечания (ОТВЕТ НА НЕГО ПИШИТЕ КОММЕНТАРИЕМ К ЯЧЕЙКЕ),Context,ft,Transcription,Source
2,ptcl,uxus,xu-r xa;xu-r=xa,xu-r=xa,say.IPFV-CVB,,na (-) h-a-s-a (1-do.ipfv-inf-?) ruʔud diš (go.ipfv.1-cvb-neg) xu-r xa (say.ipfv-cvb) hej (hey) ǯaˤmaaˤt (people) xu-r xa (say.ipfv-cvb) xa (ptcl.cit) mi (this) sa (one) χotʲa bɨ (at least) sa (one) () sa (one) šiw-i-j-den (what-aux2-pst-ctrf) h-ɨʔɨ-r (1-do.pfv-cvb) h-ɨga-r-a (1-want.ipfv*-cvb-aux1) xur=xa (QUOT=ADD) () ses-ka w-a (sound-? 3-do.imp) () sa-da-xa (one-mult-distr?) xuʔ (forwatd) dɨxɨ-r (to.go.1*.?-cvb),"Так не пойдет, так нельзя, говорит народ. -- хотя бы что-то надо делать, пригласи его еще один раз вперед.",nu hasa ruʔud diš xur xa hej ǯaˤmaaˤt xur xa mi sa χotʲa bɨ sa šiwijden ʁɨʔɨr hɨgara xur xa sesqa waʔas sa-daxa xuʔ dɨxɨr,kna_muzafer06
2,v,huxus,xu-s,xu-s,QUOT-INF,"ТМ: проверить фонетику, может huxus?",za-s (I.obl-dat)      wa-χda (you.obl-post(ess))      xu-s (quot-inf)      hɨga-r-i (want-cvb-cop2)      xur=xa (quot=add)      dunʁuz (pig)      w-iʔi (3-cop1)      xur (quot),"я хотела на тебя сказать, что ты свинья",zas waχda uxus hɨgari xurxa dunʁuz wiʔi xur,kna_babushka
2,adv,xuʔ,xu;xu-ʔ;xuʔ,xu-ʔ,in.front-LAT,,xesɨm-a (face-In(Ess))      xib-ɨd (three-ATTR)      tu (spit)      xa (too)      h-ɨʔɨ-r (1-do.PFV-CVB)      xu (in.front)      mahit-a-d (dead-Obl-GEN),В лицо трижды плюнул,xesɨma xьibɨd tu xa ejir xwa xu majitχad,Polina_text_s_Saadi_TextGridlatin
4,ptcl,xur,xur,xur,QUOT,,"   li<w>i-r  (<3>eat.PFV-CVB(AOR))      xur  (QUOT)      gja<r>ɨɢa-ma=xwa,  (<1>look.IPFV-LIM=ADD)      a  (PTCL)      küpejoʁli  (son.of.a.bitch)      xur=xwa. (QUOT=ADD)      jena  (PTCL)      xur  (QUOT)      je-d  (we-ERG)      naq'  (dream)      i-j  (COP-PST)      ʁagu-d  (4.see.PFV-ATTR)      xur=xwa. (QUOT=ADD)      q-aˤ<r>χɨˤ-r  (RE-<2>go.away.PFV-CVB)      xur  (QUOT)      nu  (but)      hileʔ=na  (where=INDEF.NEG)      q-aˤ<r>χɨˤ-r-ijden  (RE-<2>go.away.PFV-CVB-JDEN)      hac'a-r-diš  (4(?).know-CVB-NO)      xur  (QUOT)      šuw=na  (what=INDEF.NEG)      r-iši-r-ijden. (2-become.PFV-CVB-JDEN)   ","Съели, пока я смотрел, вот сукин сын.Мы сон видели.""Ушла она, но не знаем куда, что с ней стало. ""","Liwir xur gjarɨrɢama=xwa, a küpejoʁli xur=xwa. Jena xur jed naq' ij ʁagud xur=xwa. q'aˤrχɨˤr xur nu hileʔna q'aˤrχɨˤrijden hac'ardiš xur šuwna riširijden ",kna_2018_17_gljh_1942latinmuhammad_shafi_4latin
1,ptcl,huxus,xur xu-s,xur xu-s,say.PFV.1?-INF,"по идее должно быть xur huxus ""мол, скажут"";переслушивать и может быть разделить на два слова",h-ac'a-r-a (1-know.ipfv-cvb-aux1) huxu-s (say.pfv.1?-inf-fut) jer-i-biš-e (place-obl-pl.obl-erg*) h-ac'a-r-diš (1-know.ipfv-cvb-neg) xur xu-s (say.pfv.1?-inf-fut),"Половина народа скажут, что знают -- а половина скажут, что не знают.",hac'ara huxus jeribiše hac'ardiš xur xus,kna_muzafer06
1,ptcl,xur,xu-r-xa;xurxa;xur-χa;xur=χa;xur=xa;{xur xa};,xur=xa,QUOT=ADD,,? ()      ? ()      hac'a-r-\i-ma  (know.IPFV-CVB-?-INTERR)      ? ()      ? ()      gag (father.in.law)      ? ()      huš  (who)      uxune (say.PFV-TEMP2)      ismail (Ismail)      hac'a-r-a  (know.IPF-CVB-bw)      xu-r-xa (say.PFV-CVB=ADD)      he-mi-d (EMPH-this-4)      mi? (this)      Gaq' (look.IMP)      ham\i-?  (now)      w\i--d\i-  (you.SG-ATTR)      r\i-š  (daughter)      uxu-r-xa (say.PFV-CVB=ADD)      w\i--d\i-  (you.SG-ATTR)      r\i-š  (daughter),"Сейчас говорит. Знаете ли, тесть? - кто сказал - Исмаил знаю сказал - сюда смотри - твоя дочь сказал",ham\i- uxurxWa hac'ar\i-ma gag - huš uxune - ismail hac'ara xurxa - hemit mi? Gaq' ham\i-? w\i-d\i- r\i-š uxurxa,Magomedshapi_Nina_glossed_23_07latin
3,ptcl,xur,xur=xwa;xur=xʷa,xur=xʷa,QUOT=ADD,,"   ʁaˤnaˤχan  (this.night)      kašir  (porridge)      ha<w>ɨ-r  (<3>do.PFV-CVB(AOR))      s-a<p>ta-s  (PV-<2>leave-INF)      xur=xwa (QUOT=ADD)      bɨga  (tomorrow)      k'ɨb  (early)      li<w>i-r  (<3>eat.PFV-CVB)      xele  (then)      raˤɢ...  (road)      rɨˤɢ-a  (road-IN.ESS(?))      du-ruʔu-s-ɨ  (HPL-come-INF-FUT)      xur (QUOT)   ""   haj-eʔ-dɨ  (there-ALL-ATTR)      kef,  (pleasure)      haj-eʔ-dɨ  (there-ALL-ATTR)      liʔi-n  (4.eat.PFV-NMLZ)      raˤʁɨ-n  (4.drink.PFV-NMLZ)      xur=xwa  (QUOT=ADD)      haj-eʔ-dɨ  (there-ALL-ATTR)      he-mi-sa  (EMPH-this-MNR)      xur=xwa  (QUOT=ADD)      liʔi-n  (4.eat.PFV-NMLZ)      raˤʁɨ-n  (4.drink.PFV-NMLZ)      ki  (???)      jak-ušir  (morning-???)      xur=xwa (QUOT=ADD)      kef-di-k  (pleasure-OBL-INTER.ESS)      ki-j  (SURF.be-PST)      zɨ  (I)      xur=xwa. (QUOT=ADD)   """"   zɨ=xa  (I=ADD)      ga-sa  (that-MNR)      dawat-mɨ-k  (wedding-OBL.PL-INTER.ESS)      k-i<r>xu-r  (PV-<1>put(?).PFV-CVB(AOR))      xur,  (QUOT)      jak-ušir  (morning-???)      xur=xwa (QUOT=ADD)      ile-r=a  (4.eat.IPFV-CVB=be)      raˤʁa-r=a  (4.drink.IPFV-CVB=be)      kef-di-k  (pleasure-OBL-INTER.ESS)      ki-ni  (SURF.be-CVB)      jiʔi  (1.COP1)      xu-jne. (say.PFV-COND)   ""","Сегодня ночью кашу сварив оставлю... завтра утром поедим и по дороге дальше пойдем.""Там кайф, там еда-питье, сказал, там всю ночь я веселилился до утра (якушир).""""Я тоже так же на свадьбу попал, ел-пил, кайфовал.""","Гʔɨnaˤχan kašir hawɨr saptas xur=xabɨga k'ɨb liwir xele raˤɢ... rɨˤɢa duruʔusɨ xur ""Hajeʔdɨ kef, hajeʔdɨ liʔin raˤʁɨn xur=xwa, haeʔdɨ hemisa xur=xwa liʔin raˤʁɨn ki jakušir xur=xwa kefdik zɨ kij xur=xwa. """"Зɨ=xa gasa dawatmɨk kirxur xur, jakušir xur=xwa ilera raˤʁara kefdik kini jiʔi xujne. """,kna_2018_17_gljh_1942latin
1,adv,xura,xu-r-a;xura,xura,in.front,,()      tin-bɨr-0 (that.OBL-PL-ABS)      la<d>ɨbči-r-a (<HPL>jump.PFV-CVB-AUX1)      miʔ (this)      χɨnɨχ-0 (boy/kid-ABS)       ()      mijatiʔ (from.here)      haraj-0 (cry-ABS)      hɨwɨ-r (4.do.PFV-CVB)      huxu-r (1.say.PFV-CVB)      aniʔi (is)       ()      duχ-0 (сын-ABS)      lejč' (1.jump.IMP)      xu-r-a (1.say.PFV-CVB-AUX1)       (),"Они прыгали, а этот мальчик [остался], и [дед], отсюда крикнув, сказал: сынок, прыгай!",tinbɨr ladɨbčira miʔ χɨnɨχ mijatiʔ ʁaraj hɨwɨr huxur aniʔi duχ lejč' xura,latin_kna_said04latin
1,*(adv adv),xura quʔ,xura-q'uʔ,xura q'uʔ,in.front back-LAT,,xura-q'uʔ  (in.front-back)      gʲaG\i--r  (see.PFV-CVB)      arga-r-a (leave.IPFV-CVB-be),Уставился прямо и смотрит,xuraq'uʔ gʲaG\i-r argara,Magomedshapi_Nina_glossed_23_07latin
11,*,*,xwa;xʷa;χa;χʷa,xʷa,ADD,клитизовать к предш. слову,gim-a (square-In(Ess))      χɨladi (earthen.roof)      kidχ-ɨ-r (bring-PFV-CVB)      xwa (PTCL)      gjaɢ-ɨ-r (look-PFV-CVB)      xa (too)      s-iχir (DOWN-put),"где земляные крыши посмотрел, поставили и сказал",gima χɨladi kidqɨr xwa gjaɢɨr xa sixir,Polina_text_s_Saadi_TextGridlatin
2,pron,zɨ,za,za,I,оговорка?,woobchše (-) sa (one) kar (thing) h-ac'a-r-dɨš (1-know.ipfv-cvb-neg) () we-s (2pl.obl-dat) ǯ-ac'a-d-i-la-quʔ (neg-know.ipfv-atr-и-el-back) za (1sg.obl) we-kʷan (2pl.obl-comit) šiwi (what) haʔasdɨ (3-do.ifpv-inf-fut) () we-s (2pl.obl-dat) ǯ-ac'a-d (neg-know.ipfv-atr) za (1sg.obl) we (2pl) hi-ji-s i (that-obl.3-dat) χaˤr d-aʔa-s-dɨ (учить hpl-do.ipfv-inf-fut) () satɨ-r (leave.1.pfv*-cvb) qarχɨˤ-r (go.pfv.1-cvb),"-Вообще ничего не знает -- если вы сами не знаете, что я могу с вами (lit.) сделать? -- Если не сами не знаете, чему я вас научу? Оставил <его -- народ> и ушел.",--woobchše sa kar hac'ardiš --wes ǯac'adilaquʔ za wekʷan šiwi haʔasdɨ? --wes ǯac'ad za we hijis i χar daʔasdɨ satɨr qaˤrχɨr,kna_muzafer06
9,pron,zɨ,zad;za-d,za-d,I-ERG,,jiz-dɨ (we-ATTR)      wɨγl-ir-a (husband-OBL-ERG)      mixdab-a (school-IN.ESS)      gʷalaχ (job)      w-aʔa-r-a (3-do.IPFV-CVB-be)      zad (I.ERG)      gʷalaχ (job)      q-a<w>aʔa-r-diš (RE-<3>do.IPFV-CVB-NO),"Мой муж работает в школе, я не работаю.","jizdɨ wɨγlira mixʲdaba gʷalaχ waʔara, zad gʷalaχ qawaʔardiš",180724_0081_18-10-18
1,pron,zɨ,zad=xa;za-d=xa,za-d=xa,I-ERG=ADD,,gʷalaχ (job)      ha<w>ɨ-r (<3>do.PFV-CVB)      wɨγli-ra=xa  (husband.OBL-ERG-ADD)      gʷalaχ (job)      w-aʔa-r-i-j (3-do.IPFV-CVB-COP2-PST)      zad=xa (I.ERG=ATTR)      gʷalaχ (job)      w-aʔa-r-i (3-do.IPFV-CVB-COP2),"И муж работал, и я работала.","gʷalaχ hawɨr, wɨγliraxa gʷalaχ waʔarij zadxa gʷalaχ waʔari",180724_0081_18-10-18
1,pron,zɨ,za-da,za-da,I-APUD.ESS,,"   šuw  (what)      haʔa-s-ɨ  (4.do-INF-FUT)      we-d  (we-ERG)      za-s  (I-DAT)      kumak  (help)      xur=xa,  (QUOT=ADD)      mi  (this)      χɨnɨχ  (child)      je (we)      guǯ-e-kan  (force-OBL-COM)      za-da  (I-APUD.ESS)      χa-ni (ASIDE.be-CVB)      i (COP2)      xur=xa. (QUOT=ADD)   ","Какую помощь вы мне окажете? этого ребенка я с трудом с собой несу, сказала","šuw haʔasɨ wed zas kumak xurxa, mi χɨnɨχ je(da) guǯekan zada χaniʔi xurxa ",muhammad_shafi_4latin
2,pron,zɨ,za-k,za-k,I-INTER.ESS,,"   pejʁambar  (prophet)      ji<r>ɢɨ-r  (<1>come.PFV-CVB(AOR))      za-k  (I-INTER.ESS)      χɨl  (hand)      ki-χɨ-r=xwa,  (PV-1.touch.PFV-CVB(AOR)=ADD)      malaik  (angel)      ji<r>ɢɨ-r  (<1>come.PFV-CVB(AOR))      za-k  (I-INTER.ESS)      χɨl  (hand)      kiχɨ-r  (PV-1.touch.PFV-CVB(AOR))      huxu-r=xwa. (say.PFV-CVB(AOR)=ADD)   ","Пришел Пророк, тронул меня рукой, и ангел тоже тронул меня рукой.","Pejʁambar jirɢɨr zak χɨl kiχɨr=xwa, malaik jirɢɨr zak χɨl kiχɨr huxur=xwa. ",kna_2018_17_gljh_1942latin
1,pron,zɨ,za-kla;za-k-la,za-k-la,I-INTER-EL,,za-kla (1sg.obl-sub.ess) kowχa (elder) h-ɨkɨ-s-dɨš (1-be.ipfv-inf-neg) huxu-r (say.pfv*.1-cvb),Из меня старшины не выйдет.,zakla kowχa hɨkɨsdiš huxur,kna_muzafer06
1,pron,zɨ,za-la;za-laa,za-la,I-SUP.EL,Не должно ли тут быть долготы?,xej (hey)      Allaχ (Allah)      χɨl (arm)      wad (2SG.ERG)      za-la (1SG.Obl-El)      lep'e-wa-ʔa (remove-PTCL-AUX),"Хэй, Аллах, (руки убери с меня) прости меня","hej Allaχ, χɨl wad zala lep'ewaʔ ",Polina_text_s_Saadi_TextGridlatin
1,pron,zɨ,zas;za-s,za-s,I-DAT,,w\i--d\i- (you.SG-ATTR)      dibir-wal-i-kan (dibir-ABSTR-OBL-COMIT)      musurman-ed (muslim-ATTR)      šariat-i-kan (shariat-OBL-COMIT)      j-irq'\i--r (1-go.PFV-CVB)      h\i-ga-r-a (1.want.IPFV-CVB-AUX1)      zas ()      jaxši (OK),"Я хочу, чтобы ты пришел, как положено (по муллойскому мусульманскому шариату)",w\i-d\i- dibirwalikan musurmanet šariatikan jirq'\i-r h\i-gara zas. - jaxši,Magomedshapi_Nina_glossed_23_07latin
1,pron,zɨ,za-s=xa,za-s=xa,I-DAT=ADD,,()      ubli (wolf.pl.atr)      č'el (language)      w-ac'a-r=a (3-know.ipfv-cvb=be)      w-iši-r=a (3-become.pfv-cvb=be)      mi (this)      ublʲ-a (wolf.pl-erg)      q-i<d>q'ɨ-jne (re-<HPL>come.pfv-temp2)      mi (this)      riš-e-ra (girl-obl-erg)      eχtiled (tell)      haʔa-r=a (4.do.ipfv-cvb=be)      hemi-sa (this-mnr)      ʁarčekajne(?) ()      ji<d>q'ɨ-r=a-j (<HPL>come-cvb=be-pst)      ʁarčekan-eš-ik (hunter-obl.pl-inter(ess))      sa (one)      bɨtrɨ-d (be.beautiful-atr)      gada (guy)      k-i (inter-cop2)      za-s=xa (I.obl-dat=add)      begemiši (like)      wa-d (you.obl-apud(ess))      šuw (what)      ruxʷa-r=a (say.pfv-cvb=be)      ubl-i-da (wolf-obl-apud(ess)),"как вернулись волки, девушка рассказывает им, что пришли охотники и среди них был один красивый охотник, ему я приглянулась, и мне понравился он, что вы советуете, волк?",ubli č'el wac'ara wišira mi ublä qidq'ɨjne mi rɨšera eχtiled haʔara hemisa ʁarčekajne jidq'ɨraj ʁarčekanešik sa bɨtrɨd gada ki zasxa begemiši wad šuw ruxara ublida,180722_0090
1,pron,zɨ,za-χd;za-χda,za-χda,I-SUB.ESS,переслушать на всякий,hajilʲa (thus)      za-χd (I.obl-post(ess))      wa (you.obl)      февраль ()      huxu-r=xʷa (say-cvb=add)      fevralʲ=xa (february=add),Поэтому я на тебя февраль сказал,xajila zad waχxa fevralʲ huxurxwa fevralʲxa,kna_babushka
1,n,zakon,zakon,zakon,law[R],,kowχa (elder) h-iši-r (1-be.pfv-cvb) () sa (one) zakon (law) i (1-go.ipfv) kar (thing) haˤɢ (law) kar (thing) sa (one) kar (thing) a-diš (aux1-neg) () net (no) () a-diš (aux1-neg),"Вожаком стал он -- беспорядок получился, ни закона, ничего.",kowχa hišir sa zakon i kar ʁaˤɢ kar sa kar adɨš net adɨš,kna_muzafer06
1,n,zaman,zaman,zaman,time,,ha-sa-d (that-mnr-atr)      uq'ulʲa (old)      zaman (time)      nin-dɨ (mother-atr)      je-s (we-dat)      ix-dɨ (we.atr-atr)      baba-je (grandmother-erg)      babadid-e (grandfather-erg)      hɨʔɨ-d (4.do.pfv-atr)      aqɨjed (tale)      i (cop2)       (),"эта нам рассказывают в старые времена наша бабушка, дедушка сказки",hasad uq'ulä zaman nindɨ jes ixdɨ babaje babadide hɨʔɨd aqɨjed i,180722_0090
2,n,zaman,zaman-in-de;zaman-ind-e,zaman-ind-e,time-OBL-IN(ESS),проблема inde,ewel (ancient)      zaman-in-de (time-obl-in(ess))      karpɨz-a (watermelon-in(ess))      w-aʔa (3-be)      did-dɨ (father-atr)      uq'ulʲa (old)      zaman-in-de (time-obl-in(ess))      sa (one)      ɢari-na (wife-and)      wɨʁɨl (husband)      d-išir (HPL-become.pfv),в далёкие времена жили муж с женой,ewel zamaninde karpɨza waʔa diddɨ uq'ulä zamaninde sa ɢarina wiʁil dišir,180722_0090
1,n,zarafat,zarafatbɨr;zarafat-bɨr,zarafat-bɨr,joke-PL,в одном из словарей а фарингализованные,()      jaq'-bɨr (laugther-pl)      h-aʔa-r=a (inan.pl-do.ipfv-cvb=be)       ()      zarafatbɨr (joke-pl)      h-aʔa-r=a (inan.pl-do.ipfv-cvb=be)       ()      habajikan (?)      baχn-ɨj-kan (cause-obl-com)       ()      hawɨ-ji (air-onl)      ʁaʔ (outside.loc)      ʁ-adubʁu-r=a (ousider-go-cvb=be)       (),"Шутим, подшучиваем, смеемся -- вот так и собираем чернику.",jaq'bɨr haʔara zarafatbɨr haʔara habajikan baχnɨjkan hawɨji ʁaʔ ʁadubʁura,180725_0187_ludmila
3,pron,zɨ,z\i-;zɨ,zɨ,I,,wad (you.ERG)      . (.)      mi\?g  (hither)      gʲaraG  (look.IMP)      z\i-  (I.NOM)      Allah-ad (Allah-ATTR)      uli-Хda (in.front-POST)      šuw  (what)      m-a\?ga (PROH-do)      z\i-  (I.NOM)       šak-all\i--diš (feeling-NMNLZ-NO)      z\i-  (I.NOM),"Ты сюда смотри, меня перед Аллахом чего-то не делай (не ставь в неудобное положение). ""Я уверен (не сомневаюсь), """,wad mi\?g gʲaraG z\i- Allahad uliXda šuw ma\?ga z\i- šakall\i-diš z\i-,Magomedshapi_Nina_glossed_23_07latin
1,pron,zɨ,zɨ=na,zɨ=na,I=AND,,zɨ=na (I-AND)      iz-dɨ (I.OBL-ATTR)      edemi (men)      d-ɨxɨ-r (HPL-leave.to.PFV-CVB)      wɨγɨl (husband),"Я и мой мужчина, муж",zɨna izdɨ edemi dɨxɨr wɨγɨl,180724_0081_18-10-18
2,pron,zɨ,zɨ=xa,zɨ=xa,I=ADD,,zɨ=xa (I=ADD)      volgograde ()      r-ɨxɨ-r (2-leave.to.PFV-CVB)      dajarka-wal-dɨ (milkmaid-ABSTR-ATTR)      w-ɨʔɨ-r (3-do.PFV-CVB)      telʲatnica-wal-dɨ (calf.woman-ABSTR-ATTR)      w-ɨʔɨ-r (3-do.PFV-CVB),"Я в Волгограде была, дояркой работала, телятницей работала.","zɨxa volgodrade rixɨr dajarkawaldɨ wɨʔɨr, telʲatnicawaldɨ wɨʔɨr",180724_0081_18-10-18
1,pron,zɨ,zu,zu,I,,mi (this)      rɨš-e-ra (girl-obl-erg)      ruxa-r=a (say.pfv-cvb=be)      waʔ (no)      zu (I)      ru-ru-s-diš (2-become.ipfv-inf-neg)      q-u<r>ʁu-s-diš (re-<2>come-inf-neg)      mi (this)      riš-e-s (girl-obl-dat)      уже ()      ubli (wolf.atr)      č'el (language)      w-ac'a-r=a (3-know-cvb=be)      w-iši-r=a-j=xa (3-become.pfv-cvb=be-pst=add),"эта девочка не соглашалась """"не выйду, не вернусь"""", эта девушка уже знала волчий язык","mi rɨšera ruxwara """"waʔ, zu rurusdiš qurʁusdiš"""" mi rɨšes uže ubli č'el wac'ari wiširajxa",180722_0090
],v,hac'as,ǯ-ac'a-biše;ǯ-ac'a-biš-e,ǯ-ac'a-biš-e,NEG-know.IPFV-OBL.PL-ERG,,ǯ-ac'a-biše (neg-know.ipfv-pl) h-ac'a-biši-s (1-know.ipfv-pl.obl-dat) χaˤr h-a-j-ma-n (? 1-do.ipfv-pst-lim?-nmlz) maa (again) wad (2sg.erg) šiwi (what) w-aʔa-s-dɨ (3-do.ipfv-inf-fut) xa (ptcl.cit),"Тех, которые знают, пусть незнающие учат (ошибся).",ǯac'abiše hac'abišis χaˤr hajman maa was šiwi waʔasdɨ xa,kna_muzafer06
1,v,hac'as,ǯ-ac'a-d,ǯ-ac'a-d,NEG-know.IPFV-ATTR,,woobchše (-) sa (one) kar (thing) h-ac'a-r-dɨš (1-know.ipfv-cvb-neg) () we-s (2pl.obl-dat) ǯ-ac'a-d-i-la-quʔ (neg-know.ipfv-atr-и-el-back) za (1sg.obl) we-kʷan (2pl.obl-comit) šiwi (what) haʔasdɨ (3-do.ifpv-inf-fut) () we-s (2pl.obl-dat) ǯ-ac'a-d (neg-know.ipfv-atr) za (1sg.obl) we (2pl) hi-ji-s i (that-obl.3-dat) χaˤr d-aʔa-s-dɨ (учить hpl-do.ipfv-inf-fut) () satɨ-r (leave.1.pfv*-cvb) qarχɨˤ-r (go.pfv.1-cvb),"-Вообще ничего не знает -- если вы сами не знаете, что я могу с вами (lit.) сделать? -- Если не сами не знаете, чему я вас научу? Оставил <его -- народ> и ушел.",--woobchše sa kar hac'ardiš --wes ǯac'adilaquʔ za wekʷan šiwi haʔasdɨ? --wes ǯac'ad za we hijis i χar daʔasdɨ satɨr qaˤrχɨr,kna_muzafer06
1,*(v adv),hac'as,ǯ-ac'a-d-i-la-quʔ;ǯ-ac'a-d-i-la qu-ʔ,ǯ-ac'a-d-i-la qu-ʔ,NEG-know.IPFV-ATTR-OBL-SUP.EL back-LAT,,woobchše (-) sa (one) kar (thing) h-ac'a-r-dɨš (1-know.ipfv-cvb-neg) () we-s (2pl.obl-dat) ǯ-ac'a-d-i-la-quʔ (neg-know.ipfv-atr-и-el-back) za (1sg.obl) we-kʷan (2pl.obl-comit) šiwi (what) haʔasdɨ (3-do.ifpv-inf-fut) () we-s (2pl.obl-dat) ǯ-ac'a-d (neg-know.ipfv-atr) za (1sg.obl) we (2pl) hi-ji-s i (that-obl.3-dat) χaˤr d-aʔa-s-dɨ (учить hpl-do.ipfv-inf-fut) () satɨ-r (leave.1.pfv*-cvb) qarχɨˤ-r (go.pfv.1-cvb),"-Вообще ничего не знает -- если вы сами не знаете, что я могу с вами (lit.) сделать? -- Если не сами не знаете, чему я вас научу? Оставил <его -- народ> и ушел.",--woobchše sa kar hac'ardiš --wes ǯac'adilaquʔ za wekʷan šiwi haʔasdɨ? --wes ǯac'ad za we hijis i χar daʔasdɨ satɨr qaˤrχɨr,kna_muzafer06
1,v,jič'es/jiʔi,ǯ-ič'e-di-r-a;ǯ-ič'e-di-r=a,ǯ-ič'e-di-r=a,NEG-want-ATTR-CVB=be,,eχirki (last) mi-d (this-atr) ǯ-ič'e-di-r-a (neg-want-atr/go.ipfv-cvb-aux1) xa (and) guǯ-a-guǯ (strength-?-strength) ʁaʁu-d (force.cl.ipfv*-inf) forma-i-kʷan (form-obl-comit) jaʁmiš h-a-dɨr (? 1-do.ipfv-atr) xʷa (and) iǯlas (gathering) w-aʔa-ra (1-go.ipfv-cvb) xa (and) eʁeč'u-r (come.out.1.ipfv*-cvb) xu-r (say.pfv-cvb) xa (and***),"В конце концов, не хотя, как бы заставил народ собраться;проводят собарние, он выходит и говорит: (Последний он не хотел, еле-еле заставили;собрались, собрание делали;он вышел.)",eχirki mid ǯič'edira xa guǯe-guǯ ʁaʁud formaikʷan jaʁmiš ʁadɨr xʷa iǯlas waʔara xa eʁeč'ur xur χʷa,kna_muzafer06
1,v,wiq'es,č-iq'i-d,ǯ-iq'i-d,NEG-die.PFV-ATTR,может быть это ǯ-iq'i-d - неумирающий,u ()      xur=χa (QUOT=ADD)      duχ (son)      č-iq'i-d  (???-die-ATTR)      duχ (son)      ruʔu-r=a (1.become.IPFV-CVB=be),У! Здоровья тебе!,"u, xurχa, duχ čiq'id duχ ruʔura",kna_said02
1,v,wɨkɨs,ǯ-iši-jne,ǯ-iši-jne,NEG-become.PFV-COND,,mi (this)      ari-je (distance-?)      geRerč'-us (dodge(?)-INF)      ǯ-iši-jne  (NEG-be.PFV-TEMP)      xalala (behind)      xu-ʔ (frontwards)      sa (one)      edemi (man)       geRile-r-a (1.drag.IPFV-CVB-be),Тогда она не смогла увильнуть (отойти не была-когда) и привела откуда-то (из угла? сзади?) какого-то человека,mi arije geRerč'us ǯišijne xalala xuʔ sa edemi geRilera,Magomedshapi_Nina_glossed_23_07latin
1,v,wɨkɨs,ǯ-iši-r,ǯ-iši-r,NEG-become.PFV-CVB,,ǯ-iši-r (NEG-be-CVB)      jed-a (1PL-ERG)      jɨχ-ɨˤ-r (hit-PFV-CVB)      jɨq'i-r (die.PFV-CVB)       ()      ha (that)      iskura (because.of)      je (1PL)      d-iši-r-a (HPL-be-CVB-AUX)      ɢanlɨ-je-r (killer-Obl-ERG),"Мы не могли остановить его, из-за этого его убили, и за это мы стали кровники","ǯišir jeda jɨχɨˤr jiq'ir, hajisxura je dišira ɢanlɨjer ",Polina_text_s_Saadi_TextGridlatin
1,v,hɨwɨs,ǯ-iwɨ-r=a=xa,ǯ-iwɨ-r=a=xa,NEG-give.PFV-CVB=be=ADD,,aman (safe)      ǯ-iwɨ-r=a=xa (neg-give.pfv-cvb=be=add)      ʁa-ʔ (out-lat)      hɨxɨ-d (go.pfv-atr)      hal-ɨs (who.obl-dat)      č'abal-eš-is (sheep-obl.pl-dat),"не даёт покоя тем баранам, которые выходят",aman ǯiwɨraxa ʁaʔ hɨxɨd halɨs č'abalešis,180722_0090
1,v,hɨwɨs,ǯ-iwɨlca-d-i-jden,ǯ-iwɨlca-d-i-jden,NEG-give.IPFV-ATTR-COP2-COND,,mij-a (here-el)      sim-bɨr (all-pl)      jaʁmɨš (meet)      du-ruʔu-r=a (hpl-become.ipfv-cvb=be)      iǯilas (label)      w-aʔa-r=a (3-do.ipfv-cvb=be)      mi (this)      q'as-dɨ (be.old-atr)      q'ojx-dɨ (be.elder-atr)      jaʁmɨš (meet)      haʔa-r=a (1.do.ipfv-cvb=be)      hiʔi-s (?-inf)      mi (this)      ubl-eši-r (wolf.pl-obl.pl-erg)      aman (safe)      ǯ-iwɨlca-d-i-jden (neg-give.ipfv-atr-cop2-irr)      mi (this)      muˁqʷ-a-dɨ (village-obl-atr)      dawar-aš-is (cow-obl.pl-dat)      č'abɨl-eš-is (sheep-obl.pl-dat),"здесь все собираются, старые, старшие, и обсуждают вопрос, почему волки не дают покоя коровам, овцам этого села",mija simbɨr jaʁmɨš duruʔura iǯilas waʔara mi q'asdɨ q'ojxdɨ jaʁmiš haʔara hiʔis mi ublešir aman ǯiwɨlcadijden mi muˁqadɨ dawarašis č'abɨlešis,180722_0090
1,v,hɨwɨs,ǯ-i<w>u-r-a;ǯ-iwu-r=a,ǯ-iwu-r=a,NEG-4.give.PFV-CVB=be,,hamɨʔ (now)      xa (too)      ej (hey)      ǯan (dear)       ()      kowχa (elder)       ()      wɨ-dɨ (2SG-ATTR)      duχ-ara (son-ERG)       ()      he-mi (that-his)      sus-u-s (bride-Obl-DAT)      raˤq (road)      ǯ-i<w>u-r-a (NEG-4.give.PFV-CVB-AUX),"сейчас, ковха, твой сын моей невесте покоя не даёт",hamɨʔ xa ǯan kowχa wɨdɨ duχara hemi susus raˤq ǯɨwɨra,Polina_text_s_Saadi_TextGridlatin
